cgpa,backlogs,coding_score,aptitude_score,communication_score,projects,internships,certifications,github_contributions,leetcode_solved,hackathon,soft_skills,placement_status,placement_month
7.82,0,68,33,96,3,1,5,297,117,0,24,1,4
8.84,0,69,38,56,2,1,3,64,34,0,48,1,7
5.74,1,84,64,52,2,0,4,33,15,0,48,0,7
7.45,4,7,14,57,8,0,3,301,21,1,82,0,6
6.51,0,60,58,74,9,0,4,278,179,0,55,1,5
8.52,2,40,77,17,6,0,4,221,3,0,84,1,8
8.05,0,71,46,65,3,1,3,247,207,0,65,0,7
7.33,3,52,46,59,2,1,2,59,40,0,96,1,11
5.01,1,65,65,81,4,1,7,127,103,0,62,1,5
7.73,0,53,44,52,2,0,0,78,45,5,71,1,6
4.75,2,78,57,83,4,1,0,27,57,3,30,1,2
4.68,2,60,72,43,2,2,2,9,81,0,69,0,7
7.93,0,67,71,71,3,0,2,140,196,0,87,0,7
9.77,1,57,68,72,8,1,7,86,90,0,95,1,7
6.66,1,100,61,40,7,0,9,18,11,0,56,0,11
7.29,0,73,76,53,4,1,2,94,26,0,62,0,9
6.55,1,34,74,52,3,0,3,79,32,0,71,1,12
6.3,1,84,59,38,0,1,9,195,46,1,44,0,8
9.58,1,69,84,62,2,1,4,186,25,0,30,1,2
9.48,2,60,3,56,8,1,3,125,61,0,61,1,6
5.69,1,65,76,65,1,0,9,2,69,0,32,1,5
6.52,2,61,59,18,4,0,7,19,35,1,68,0,9
4.87,5,95,28,81,1,1,0,17,12,0,77,0,10
9.72,3,77,14,56,2,3,4,25,132,0,66,1,10
4.83,3,52,68,73,7,0,0,122,57,0,77,0,9
9.42,1,67,44,26,0,3,1,340,91,0,78,1,11
5.84,0,80,69,59,6,0,1,28,31,0,55,1,7
4.79,1,87,81,40,1,1,4,148,78,0,52,0,7
9.98,0,39,51,70,3,0,0,36,51,2,46,1,8
8.88,1,59,75,73,2,0,0,70,126,0,69,0,10
6.18,1,40,87,36,7,1,5,141,13,0,42,1,2
8.16,1,63,86,55,1,0,4,152,75,2,65,0,9
8.47,3,61,52,54,6,1,0,365,202,1,68,1,6
9.7,1,92,59,77,3,1,1,201,129,0,98,0,12
6.83,2,52,60,87,1,1,2,117,86,3,64,0,8
6.54,1,66,58,81,9,2,8,283,74,1,75,0,10
6.22,2,60,56,49,2,3,0,17,4,0,54,1,3
7.95,1,60,60,73,2,1,1,213,118,0,67,1,10
5.52,0,37,82,24,8,0,8,315,72,0,53,1,7
6.46,2,41,38,35,2,2,9,90,90,0,40,1,1
10.0,0,91,87,41,8,1,1,115,68,3,80,1,6
